Product_title,Product_image,Packsize,Price,Price per unit
Market Fare Winter Vegetables 1kg,https://www.aldi.com.au/fileadmin/_processed_/1/8/csm_ALN3354_Q2-WEB-AUDIT_1x1_228x128_23_0421a1bc07.jpg,,$2.79,$2.79 per kg
Market Fare Stir Fry Vegetables 850g,https://www.aldi.com.au/fileadmin/_processed_/d/3/csm_ALN2853_FROZEN_FOOD_1x1_228x128_2_b87e9b8cb1.jpg,850g,$3.49,$4.11 per kg
Market Fare Cauliflower or Broccoli Bake 800g,https://www.aldi.com.au/fileadmin/_processed_/b/6/csm_ALN2853_AWARDS_FROZEN_FOOD_1x1_228x128_8_b9622172af.jpg,ea,$4.99,$6.24 per kg
The Best Margherita Pizza Ever 365g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN2626_MARGHERITA_PIZZA_1x1_228x128_663241c472.jpg,,$4.99,$1.37 per 100g
Oh So Natural Cashew Spread 240g,https://www.aldi.com.au/fileadmin/_processed_/0/0/csm_ALN3478_NEW__B4__1x1_228x128__2cc1a1cfb2.jpg,,$4.99,$2.08 per 100g
Westcliff Lime Cordial 1L,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3478_NEW__B4__1x1_228x128_2_0272aa9b77.jpg,,$1.99,$1.99 per litre
Westcliff Assorted No Added Sugar Cordials 1L,https://www.aldi.com.au/fileadmin/_processed_/3/f/csm_ALN3478_NEW__B4__1x1_228x128_3_df76593021.jpg,ea,$2.49,$2.49 per litre
Natural Elements Pet Nutrition Dog Food Roll 1.4kg,https://www.aldi.com.au/fileadmin/_processed_/5/6/csm_ALN3478_NEW__B4__1x1_228x128_4_07622cbe91.jpg,,$3.99,29c per 100g
Yoguri High Protein Salted Caramel Yogurt 160g,https://www.aldi.com.au/fileadmin/_processed_/0/7/csm_ALN3478_NEW__B4__1x1_228x128_5_e025626679.jpg,,$1.79,$1.12 per 100g
LACURA  Essentials Purify Exfoliating Wash 150ml,https://www.aldi.com.au/fileadmin/_processed_/7/d/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228__7337596be1.jpg,,$3.79,$2.53 per 100ml
LACURA  Essentials Caring Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/_processed_/e/9/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_2_238ffd9714.jpg,,$3.79,$2.53 per 100ml
LACURA  Essentials Fine Balance Foaming Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/_processed_/1/6/csm_ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_3_41952414db.jpg,,$3.79,$2.53 per 100ml
LACURA  Essentials Fine Balance Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/8/5/csm_ALC7782_THE_BLOCK_1x1_228x128_46_14b472b3c8.jpg,30pk,$1.69,6c per wipe
LACURA  Essentials Caring Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/d/8/csm_ALC7782_THE_BLOCK_1x1_228x128_47_c420f81809.jpg,,$1.69,6c per wipe
LACURA  Essentials Make Up Rounds 80pk,https://www.aldi.com.au/fileadmin/_processed_/7/7/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_9_1dbf20698f.jpg,,$1.39,$1.74 per 100 rounds
LACURA  Essentials Women's Comfort Touch 3 Blade Disposable Razors 8pk,https://www.aldi.com.au/fileadmin/_processed_/5/c/csm_ALN1075_SKIN_CARE_UPDATE_1x1_228x128_11_f02b9d87a7.jpg,,$3.99,50c per unit
LACURA  Skin Science Renew Expert Double Effect Eye Gel 15ml,https://www.aldi.com.au/fileadmin/_processed_/b/f/csm_ALN3510_Q3_BEAUTY_1x1_228x128_8_e268545a92.jpg,,$10.99,$73.27 per 100ml
LACURA  Skin Science Renew Expert Wrinkle Smoother 15ml,https://www.aldi.com.au/fileadmin/_processed_/7/9/csm_ALN2147_Q4_SKIN-CARE_1x1_228x128_10_7ffbef2e32.jpg,,$10.99,$73.27 per 100ml
LACURA  Skin Science Renew Day Cream SPF 15 50ml,https://www.aldi.com.au/fileadmin/_processed_/5/1/csm_ALN3510_Q3_BEAUTY_1x1_228x128_13_418604b98b.jpg,,$7.99,$15.98 per 100ml
LACURA  Skin Science Renew Night Cream 50ml,https://www.aldi.com.au/fileadmin/_processed_/8/d/csm_ALN3510_Q3_BEAUTY_1x1_228x128_14_67b77323e1.jpg,,$7.99,$15.98 per 100ml
LACURA  Skin Science Renew Serum 50ml,https://www.aldi.com.au/fileadmin/_processed_/e/d/csm_ALN3510_Q3_BEAUTY_1x1_228x128_12_3e4b1c9e23.jpg,,$7.99,$15.98 per 100ml
Forresters Sensations Savoury Mixed Nuts 150g,https://www.aldi.com.au/fileadmin/_processed_/c/8/csm_ALN3635_LTO_W44_1x1_228x128_2_3b35ab5234.jpg,ea,$2.99,$19.93 per kg
Forresters Pistachio Kernels 80g,https://www.aldi.com.au/fileadmin/_processed_/e/8/csm_ALN3635_LTO_W44_1x1_228x128_3_f9d6602675.jpg,80g,$3.49,$43.63 per kg
Forresters Honey Roasted Macadamias 400g,https://www.aldi.com.au/fileadmin/_processed_/8/0/csm_ALN3635_LTO_W44_1x1_228x128_4_edd2037491.jpg,400g,$13.99,$34.98 per kg
French Fries 175g,https://www.aldi.com.au/fileadmin/_processed_/7/3/csm_ALN3635_LTO_W44_1x1_228x128_5_046f52b1e9.jpg,175g,$2.49,$1.42 per 100g
Parker's Pretzel Minis 6pk/150g,https://www.aldi.com.au/fileadmin/_processed_/b/b/csm_ALN3635_LTO_W44_1x1_228x128_6_d2d51422e4.jpg,6pk,$2.49,$1.66 per 100g
Harvest Snaps 200g,https://www.aldi.com.au/fileadmin/_processed_/8/8/csm_ALN3635_LTO_W44_1x1_228x128_7_bbc0db69a0.jpg,200g,$4.99,$2.50 per 100g
Jumpy's Chicken Snacks 6pk/108g,https://www.aldi.com.au/fileadmin/_processed_/7/4/csm_ALN3635_LTO_W44_1x1_228x128_8_7b53e15a0f.jpg,6pk,$2.99,$2.77 per 100g
Delicious Destinations Novelty Shaped Bath Bombs 150g,https://www.aldi.com.au/fileadmin/_processed_/4/5/csm_ALN3635_LTO_W44_1x1_228x128_9_027e9afd29.jpg,ea,$3.99,$2.66 per 100g
Olay Complete Sensitive Lotion SPF15 150ml,https://www.aldi.com.au/fileadmin/_processed_/f/d/csm_ALN3635_LTO_W44_1x1_228x128_10_26a5918f6e.jpg,150ml,$9.99,$6.66 per 100ml
Nivea Biodegradeable Cleansing Wipes 25pk,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN3635_LTO_W44_1x1_228x128_11_1e66c2b984.jpg,25pk,$4.99,20c per wipe
Nivea Soft All Purpose Cream 300ml,https://www.aldi.com.au/fileadmin/_processed_/a/6/csm_ALN3635_LTO_W44_1x1_228x128_12_282df83bd6.jpg,300ml,$7.99,$2.66 per 100ml
Westacre Snack ’n’ Go 40g/50g,https://www.aldi.com.au/fileadmin/_processed_/0/f/csm_ALN3662_1x1_SSV-NOV-B1_228x628_14_47bb36f037.jpg,ea,99c,$24.75/$19.80 per kg
Snackers Market Little Pickers Cubed Tasty Cheese & Mini Crackers 35g,https://www.aldi.com.au/fileadmin/_processed_/5/0/csm_ALN3662_1x1_SSV-NOV-B1_228x628_15_53a26d93bb.jpg,35g,99c,$28.29 per kg
Westacre Cream Cheese Block 250g,https://www.aldi.com.au/fileadmin/_processed_/8/2/csm_ALN3662_1x1_SSV-NOV-B1_228x628_16_b7a7e637de.jpg,250g,$1.99,$7.96 per kg
